comparison_changes,delta_mean_at_probe,delta_mean_coefficients,delta_total_coefficients,envelope_comparison,fixed_cutoff_comparison,id,kind,left,left_closed,new_loss_coefficients,new_minimizers,old_loss_coefficients,old_minimizers,probe,right,right_closed,strict_new_improvement
True,-63/2816,-3/64 3/64,-3 3,old_lower,new_lower,penalty-0029,open_interval,1/2,False,41 128,cell-0041,38 131,cell-0123,23/44,6/11,False,excluded_nominal
True,-15/704,-9/64 7/32,-9 14,old_lower,new_lower,penalty-0030,point,6/11,True,47 117,cell-0030 cell-0041,38 131,cell-0123,6/11,6/11,True,excluded_nominal
True,-125/9152,-9/64 7/32,-9 14,old_lower,new_lower,penalty-0031,open_interval,6/11,False,47 117,cell-0030,38 131,cell-0123,83/143,8/13,False,excluded_nominal
True,-5/832,-1/64 1/64,-1 1,old_lower,new_lower,penalty-0032,point,8/13,True,47 117,cell-0030,46 118,cell-0110 cell-0123,8/13,8/13,True,excluded_nominal
True,-479/81536,-1/64 1/64,-1 1,old_lower,new_lower,penalty-0033,open_interval,8/13,False,47 117,cell-0030,46 118,cell-0110,795/1274,31/49,False,excluded_nominal
True,-9/1568,15/32 -3/4,30 -48,old_lower,new_lower,penalty-0034,point,31/49,True,47 117,cell-0030,77 69,cell-0061 cell-0110,31/49,31/49,True,excluded_nominal
True,-1509/39200,15/32 -3/4,30 -48,old_lower,new_lower,penalty-0035,open_interval,31/49,False,47 117,cell-0030,77 69,cell-0061,1657/2450,18/25,False,excluded_nominal
True,-57/800,3/16 -23/64,12 -23,old_lower,new_lower,penalty-0036,point,18/25,True,65 92,cell-0005 cell-0030,77 69,cell-0061,18/25,18/25,True,excluded_nominal
True,-1277/17600,3/16 -23/64,12 -23,old_lower,new_lower,penalty-0037,open_interval,18/25,False,65 92,cell-0005,77 69,cell-0061,199/275,8/11,False,excluded_nominal
True,-13/176,5/16 -17/32,20 -34,old_lower,new_lower,penalty-0038,point,8/11,True,65 92,cell-0005,85 58,cell-0050 cell-0061,8/11,8/11,True,excluded_nominal
True,-2105/27808,5/16 -17/32,20 -34,old_lower,new_lower,penalty-0039,open_interval,8/11,False,65 92,cell-0005,85 58,cell-0050,635/869,58/79,False,excluded_nominal
True,-49/632,5/16 -17/32,20 -34,old_lower,tie,penalty-0040,point,58/79,True,65 92,cell-0005,85 58,cell-0050,58/79,58/79,True,excluded_nominal
False,-4055/45504,5/16 -17/32,20 -34,old_lower,old_lower,penalty-0041,open_interval,58/79,False,65 92,cell-0005,85 58,cell-0050,1075/1422,7/9,False,excluded_nominal
False,-29/288,41/64 -61/64,41 -61,old_lower,old_lower,penalty-0042,point,7/9,True,65 92,cell-0005,106 31,cell-0023 cell-0050,7/9,7/9,True,excluded_nominal
False,-641/5760,41/64 -61/64,41 -61,old_lower,old_lower,penalty-0043,open_interval,7/9,False,65 92,cell-0005,106 31,cell-0023,71/90,4/5,False,excluded_nominal
False,-39/320,37/64 -7/8,37 -56,old_lower,old_lower,penalty-0044,point,4/5,True,69 87,cell-0000 cell-0005,106 31,cell-0023,4/5,4/5,True,excluded_nominal
False,-131/960,37/64 -7/8,37 -56,old_lower,old_lower,penalty-0045,open_interval,4/5,False,69 87,cell-0000,106 31,cell-0023,49/60,5/6,False,excluded_nominal
False,-29/192,21/32 -31/32,42 -62,old_lower,old_lower,penalty-0046,point,5/6,True,69 87,cell-0000,111 25,cell-0017 cell-0023,5/6,5/6,True,excluded_nominal
False,-619/3072,21/32 -31/32,42 -62,old_lower,old_lower,penalty-0047,open_interval,5/6,False,69 87,cell-0000,111 25,cell-0017,85/96,15/16,False,excluded_nominal
False,-129/512,57/64 -39/32,57 -78,old_lower,old_lower,penalty-0048,point,15/16,True,69 87,cell-0000,126 9,cell-0001 cell-0017,15/16,15/16,True,excluded_nominal
False,-297/1024,57/64 -39/32,57 -78,old_lower,old_lower,penalty-0049,open_interval,15/16,False,69 87,cell-0000,126 9,cell-0001,31/32,1,False,excluded_nominal
False,-21/64,29/32 -79/64,58 -79,old_lower,old_lower,penalty-0050,point,1,True,69 87,cell-0000,127 8,cell-0000 cell-0001,1,1,True,excluded_nominal
