case_id,group,contract,allocated_images,blocked_image_count,decision,evidence,mean_lower,mean_upper,attained_lower,attained_upper,original_nominal_mean
image-12,singleton,current_partial,1,0,excluded,universal_bound,-1,-1,-1,-1,-1
image-12,singleton,union_strict,1,0,excluded,universal_bound,-1,-1,-1,-1,-1
image-12,singleton,union_partial,1,0,excluded,universal_bound,-1,-1,-1,-1,-1
image-13,singleton,current_strict,1,1,input_blocked,,,,,,9
image-13,singleton,current_partial,1,0,unresolved,opposite_worlds,-3,13,-3,11,9
image-13,singleton,union_strict,1,1,input_blocked,,,,,,9
image-13,singleton,union_partial,1,0,unresolved,opposite_worlds,-13,13,-11,11,9
image-14,singleton,current_strict,1,1,input_blocked,,,,,,0
image-14,singleton,current_partial,1,0,excluded,universal_bound,0,0,0,0,0
image-14,singleton,union_strict,1,1,input_blocked,,,,,,0
image-14,singleton,union_partial,1,0,excluded,universal_bound,0,0,0,0,0
image-15,singleton,current_strict,1,0,supported,universal_bound,1,1,1,1,1
image-15,singleton,current_partial,1,0,supported,universal_bound,1,1,1,1,1
image-15,singleton,union_strict,1,0,supported,universal_bound,1,1,1,1,1
image-15,singleton,union_partial,1,0,supported,universal_bound,1,1,1,1,1
image-16,singleton,current_strict,1,0,excluded,universal_bound,-1,-1,-1,-1,-1
image-16,singleton,current_partial,1,0,excluded,universal_bound,-1,-1,-1,-1,-1
image-16,singleton,union_strict,1,0,excluded,universal_bound,-1,-1,-1,-1,-1
image-16,singleton,union_partial,1,0,excluded,universal_bound,-1,-1,-1,-1,-1
image-17,singleton,current_strict,1,0,excluded,universal_bound,0,0,0,0,0
image-17,singleton,current_partial,1,0,excluded,universal_bound,0,0,0,0,0
image-17,singleton,union_strict,1,0,excluded,universal_bound,0,0,0,0,0
image-17,singleton,union_partial,1,0,excluded,universal_bound,0,0,0,0,0
image-18,singleton,current_strict,1,1,input_blocked,,,,,,0
image-18,singleton,current_partial,1,0,unresolved,bound_gap,-2,2,0,0,0
image-18,singleton,union_strict,1,1,input_blocked,,,,,,0
image-18,singleton,union_partial,1,0,unresolved,bound_gap,-2,2,0,0,0
image-19,singleton,current_strict,1,0,supported,universal_bound,2,2,2,2,2
image-19,singleton,current_partial,1,0,supported,universal_bound,2,2,2,2,2
image-19,singleton,union_strict,1,0,supported,universal_bound,2,2,2,2,2
image-19,singleton,union_partial,1,0,supported,universal_bound,2,2,2,2,2
image-20,singleton,current_strict,1,0,excluded,universal_bound,0,0,0,0,0
image-20,singleton,current_partial,1,0,excluded,universal_bound,0,0,0,0,0
image-20,singleton,union_strict,1,0,excluded,universal_bound,0,0,0,0,0
image-20,singleton,union_partial,1,0,excluded,universal_bound,0,0,0,0,0
image-21,singleton,current_strict,1,0,supported,universal_bound,1,1,1,1,1
image-21,singleton,current_partial,1,0,supported,universal_bound,1,1,1,1,1
image-21,singleton,union_strict,1,1,input_blocked,,,,,,1
image-21,singleton,union_partial,1,0,unresolved,opposite_worlds,-1,1,-1,1,1
image-22,singleton,current_strict,1,1,input_blocked,,,,,,0
image-22,singleton,current_partial,1,0,excluded,universal_bound,-2,0,-2,0,0
image-22,singleton,union_strict,1,1,input_blocked,,,,,,0
image-22,singleton,union_partial,1,0,excluded,universal_bound,-2,0,-2,0,0
image-23,singleton,current_strict,1,0,excluded,universal_bound,0,0,0,0,0
image-23,singleton,current_partial,1,0,excluded,universal_bound,0,0,0,0,0
image-23,singleton,union_strict,1,1,input_blocked,,,,,,0
image-23,singleton,union_partial,1,0,excluded,universal_bound,0,0,0,0,0
image-24,singleton,current_strict,1,0,excluded,universal_bound,0,0,0,0,0
image-24,singleton,current_partial,1,0,excluded,universal_bound,0,0,0,0,0
image-24,singleton,union_strict,1,0,excluded,universal_bound,0,0,0,0,0
image-24,singleton,union_partial,1,0,excluded,universal_bound,0,0,0,0,0
image-25,singleton,current_strict,1,0,excluded,universal_bound,-1,-1,-1,-1,-1
image-25,singleton,current_partial,1,0,excluded,universal_bound,-1,-1,-1,-1,-1
image-25,singleton,union_strict,1,1,input_blocked,,,,,,-1
image-25,singleton,union_partial,1,0,unresolved,opposite_worlds,-1,1,-1,1,-1
image-26,singleton,current_strict,1,0,excluded,universal_bound,-3,-3,-3,-3,-3
image-26,singleton,current_partial,1,0,excluded,universal_bound,-3,-3,-3,-3,-3
image-26,singleton,union_strict,1,0,excluded,universal_bound,-3,-3,-3,-3,-3
image-26,singleton,union_partial,1,0,excluded,universal_bound,-3,-3,-3,-3,-3
image-27,singleton,current_strict,1,1,input_blocked,,,,,,-1
image-27,singleton,current_partial,1,0,excluded,universal_bound,-1,-1,-1,-1,-1
image-27,singleton,union_strict,1,1,input_blocked,,,,,,-1
image-27,singleton,union_partial,1,0,excluded,universal_bound,-1,-1,-1,-1,-1
image-28,singleton,current_strict,1,1,input_blocked,,,,,,2
image-28,singleton,current_partial,1,0,unresolved,opposite_worlds,-2,2,-2,2,2
image-28,singleton,union_strict,1,1,input_blocked,,,,,,2
image-28,singleton,union_partial,1,0,unresolved,opposite_worlds,-2,2,-2,2,2
image-29,singleton,current_strict,1,1,input_blocked,,,,,,1
image-29,singleton,current_partial,1,0,supported,universal_bound,1,5,1,5,1
image-29,singleton,union_strict,1,1,input_blocked,,,,,,1
image-29,singleton,union_partial,1,0,unresolved,opposite_worlds,-1,7,-1,7,1
image-30,singleton,current_strict,1,1,input_blocked,,,,,,0
image-30,singleton,current_partial,1,0,unresolved,bound_gap,-4,4,-4,0,0
image-30,singleton,union_strict,1,1,input_blocked,,,,,,0
image-30,singleton,union_partial,1,0,unresolved,bound_gap,-6,4,-6,0,0
image-31,singleton,current_strict,1,1,input_blocked,,,,,,2
image-31,singleton,current_partial,1,0,unresolved,opposite_worlds,-2,4,-2,2,2
image-31,singleton,union_strict,1,1,input_blocked,,,,,,2
image-31,singleton,union_partial,1,0,unresolved,opposite_worlds,-4,4,-2,2,2
image-32,singleton,current_strict,1,0,supported,universal_bound,1,1,1,1,1
image-32,singleton,current_partial,1,0,supported,universal_bound,1,1,1,1,1
image-32,singleton,union_strict,1,0,supported,universal_bound,1,1,1,1,1
image-32,singleton,union_partial,1,0,supported,universal_bound,1,1,1,1,1
image-33,singleton,current_strict,1,1,input_blocked,,,,,,4
image-33,singleton,current_partial,1,0,supported,universal_bound,2,6,2,4,4
image-33,singleton,union_strict,1,1,input_blocked,,,,,,4
image-33,singleton,union_partial,1,0,supported,universal_bound,2,6,2,4,4
image-34,singleton,current_strict,1,0,supported,universal_bound,1,1,1,1,1
image-34,singleton,current_partial,1,0,supported,universal_bound,1,1,1,1,1
image-34,singleton,union_strict,1,1,input_blocked,,,,,,1
image-34,singleton,union_partial,1,0,unresolved,opposite_worlds,-1,1,-1,1,1
image-35,singleton,current_strict,1,0,excluded,universal_bound,0,0,0,0,0
image-35,singleton,current_partial,1,0,excluded,universal_bound,0,0,0,0,0
image-35,singleton,union_strict,1,0,excluded,universal_bound,0,0,0,0,0
image-35,singleton,union_partial,1,0,excluded,universal_bound,0,0,0,0,0
image-36,singleton,current_strict,1,0,supported,universal_bound,1,1,1,1,1
image-36,singleton,current_partial,1,0,supported,universal_bound,1,1,1,1,1
image-36,singleton,union_strict,1,0,supported,universal_bound,1,1,1,1,1
image-36,singleton,union_partial,1,0,supported,universal_bound,1,1,1,1,1
image-37,singleton,current_strict,1,1,input_blocked,,,,,,-1
image-37,singleton,current_partial,1,0,unresolved,opposite_worlds,-3,3,-1,1,-1
image-37,singleton,union_strict,1,1,input_blocked,,,,,,-1
image-37,singleton,union_partial,1,0,unresolved,opposite_worlds,-3,3,-1,1,-1
image-38,singleton,current_strict,1,1,input_blocked,,,,,,1
image-38,singleton,current_partial,1,0,unresolved,opposite_worlds,-1,3,-1,3,1
image-38,singleton,union_strict,1,1,input_blocked,,,,,,1
image-38,singleton,union_partial,1,0,unresolved,opposite_worlds,-1,3,-1,3,1
image-39,singleton,current_strict,1,1,input_blocked,,,,,,-1
image-39,singleton,current_partial,1,0,unresolved,opposite_worlds,-3,3,-1,1,-1
image-39,singleton,union_strict,1,1,input_blocked,,,,,,-1
image-39,singleton,union_partial,1,0,unresolved,opposite_worlds,-3,3,-1,1,-1
image-40,singleton,current_strict,1,0,excluded,universal_bound,0,0,0,0,0
image-40,singleton,current_partial,1,0,excluded,universal_bound,0,0,0,0,0
image-40,singleton,union_strict,1,1,input_blocked,,,,,,0
image-40,singleton,union_partial,1,0,unresolved,opposite_worlds,-2,2,-2,2,0
image-41,singleton,current_strict,1,1,input_blocked,,,,,,1
image-41,singleton,current_partial,1,0,unresolved,opposite_worlds,-1,1,-1,1,1
image-41,singleton,union_strict,1,1,input_blocked,,,,,,1
image-41,singleton,union_partial,1,0,unresolved,opposite_worlds,-1,1,-1,1,1
image-42,singleton,current_strict,1,0,excluded,universal_bound,0,0,0,0,0
image-42,singleton,current_partial,1,0,excluded,universal_bound,0,0,0,0,0
image-42,singleton,union_strict,1,1,input_blocked,,,,,,0
image-42,singleton,union_partial,1,0,excluded,universal_bound,0,0,0,0,0
image-43,singleton,current_strict,1,1,input_blocked,,,,,,-1
image-43,singleton,current_partial,1,0,unresolved,opposite_worlds,-5,3,-1,1,-1
image-43,singleton,union_strict,1,1,input_blocked,,,,,,-1
image-43,singleton,union_partial,1,0,unresolved,opposite_worlds,-5,3,-1,1,-1
image-44,singleton,current_strict,1,0,supported,universal_bound,1,1,1,1,1
image-44,singleton,current_partial,1,0,supported,universal_bound,1,1,1,1,1
image-44,singleton,union_strict,1,0,supported,universal_bound,1,1,1,1,1
image-44,singleton,union_partial,1,0,supported,universal_bound,1,1,1,1,1
image-45,singleton,current_strict,1,1,input_blocked,,,,,,1
image-45,singleton,current_partial,1,0,unresolved,opposite_worlds,-1,3,-1,1,1
image-45,singleton,union_strict,1,1,input_blocked,,,,,,1
image-45,singleton,union_partial,1,0,unresolved,opposite_worlds,-1,3,-1,1,1
image-46,singleton,current_strict,1,0,excluded,universal_bound,-1,-1,-1,-1,-1
image-46,singleton,current_partial,1,0,excluded,universal_bound,-1,-1,-1,-1,-1
image-46,singleton,union_strict,1,1,input_blocked,,,,,,-1
image-46,singleton,union_partial,1,0,unresolved,opposite_worlds,-1,1,-1,1,-1
image-47,singleton,current_strict,1,0,excluded,universal_bound,0,0,0,0,0
image-47,singleton,current_partial,1,0,excluded,universal_bound,0,0,0,0,0
image-47,singleton,union_strict,1,0,excluded,universal_bound,0,0,0,0,0
image-47,singleton,union_partial,1,0,excluded,universal_bound,0,0,0,0,0
image-48,singleton,current_strict,1,0,supported,universal_bound,1,1,1,1,1
image-48,singleton,current_partial,1,0,supported,universal_bound,1,1,1,1,1
image-48,singleton,union_strict,1,0,supported,universal_bound,1,1,1,1,1
image-48,singleton,union_partial,1,0,supported,universal_bound,1,1,1,1,1
image-49,singleton,current_strict,1,0,excluded,universal_bound,0,0,0,0,0
image-49,singleton,current_partial,1,0,excluded,universal_bound,0,0,0,0,0
image-49,singleton,union_strict,1,0,excluded,universal_bound,0,0,0,0,0
image-49,singleton,union_partial,1,0,excluded,universal_bound,0,0,0,0,0
image-50,singleton,current_strict,1,0,supported,universal_bound,2,2,2,2,2
image-50,singleton,current_partial,1,0,supported,universal_bound,2,2,2,2,2
image-50,singleton,union_strict,1,0,supported,universal_bound,2,2,2,2,2
image-50,singleton,union_partial,1,0,supported,universal_bound,2,2,2,2,2
image-51,singleton,current_strict,1,0,excluded,universal_bound,0,0,0,0,0
image-51,singleton,current_partial,1,0,excluded,universal_bound,0,0,0,0,0
image-51,singleton,union_strict,1,0,excluded,universal_bound,0,0,0,0,0
image-51,singleton,union_partial,1,0,excluded,universal_bound,0,0,0,0,0
image-52,singleton,current_strict,1,1,input_blocked,,,,,,1
image-52,singleton,current_partial,1,0,unresolved,opposite_worlds,-1,3,-1,3,1
image-52,singleton,union_strict,1,1,input_blocked,,,,,,1
image-52,singleton,union_partial,1,0,unresolved,opposite_worlds,-3,5,-3,5,1
image-53,singleton,current_strict,1,0,excluded,universal_bound,0,0,0,0,0
image-53,singleton,current_partial,1,0,excluded,universal_bound,0,0,0,0,0
image-53,singleton,union_strict,1,0,excluded,universal_bound,0,0,0,0,0
image-53,singleton,union_partial,1,0,excluded,universal_bound,0,0,0,0,0
image-54,singleton,current_strict,1,1,input_blocked,,,,,,0
image-54,singleton,current_partial,1,0,excluded,universal_bound,0,0,0,0,0
image-54,singleton,union_strict,1,1,input_blocked,,,,,,0
image-54,singleton,union_partial,1,0,excluded,universal_bound,0,0,0,0,0
image-55,singleton,current_strict,1,1,input_blocked,,,,,,-2
image-55,singleton,current_partial,1,0,excluded,universal_bound,-2,-2,-2,-2,-2
image-55,singleton,union_strict,1,1,input_blocked,,,,,,-2
image-55,singleton,union_partial,1,0,excluded,universal_bound,-2,-2,-2,-2,-2
image-56,singleton,current_strict,1,0,excluded,universal_bound,0,0,0,0,0
image-56,singleton,current_partial,1,0,excluded,universal_bound,0,0,0,0,0
image-56,singleton,union_strict,1,0,excluded,universal_bound,0,0,0,0,0
image-56,singleton,union_partial,1,0,excluded,universal_bound,0,0,0,0,0
image-57,singleton,current_strict,1,1,input_blocked,,,,,,2
image-57,singleton,current_partial,1,0,unresolved,opposite_worlds,0,4,0,2,2
image-57,singleton,union_strict,1,1,input_blocked,,,,,,2
image-57,singleton,union_partial,1,0,unresolved,opposite_worlds,-2,4,-2,2,2
image-58,singleton,current_strict,1,0,supported,universal_bound,1,1,1,1,1
image-58,singleton,current_partial,1,0,supported,universal_bound,1,1,1,1,1
image-58,singleton,union_strict,1,0,supported,universal_bound,1,1,1,1,1
image-58,singleton,union_partial,1,0,supported,universal_bound,1,1,1,1,1
image-59,singleton,current_strict,1,1,input_blocked,,,,,,1
image-59,singleton,current_partial,1,0,unresolved,opposite_worlds,-1,1,-1,1,1
image-59,singleton,union_strict,1,1,input_blocked,,,,,,1
image-59,singleton,union_partial,1,0,unresolved,opposite_worlds,-1,1,-1,1,1
image-60,singleton,current_strict,1,0,excluded,universal_bound,-3,-3,-3,-3,-3
image-60,singleton,current_partial,1,0,excluded,universal_bound,-3,-3,-3,-3,-3
image-60,singleton,union_strict,1,1,input_blocked,,,,,,-3
image-60,singleton,union_partial,1,0,excluded,universal_bound,-5,-1,-5,-1,-3
image-61,singleton,current_strict,1,1,input_blocked,,,,,,1
image-61,singleton,current_partial,1,0,unresolved,opposite_worlds,-1,3,-1,3,1
image-61,singleton,union_strict,1,1,input_blocked,,,,,,1
image-61,singleton,union_partial,1,0,unresolved,opposite_worlds,-1,3,-1,3,1
image-62,singleton,current_strict,1,1,input_blocked,,,,,,3
image-62,singleton,current_partial,1,0,unresolved,opposite_worlds,-19,19,-7,5,3
image-62,singleton,union_strict,1,1,input_blocked,,,,,,3
image-62,singleton,union_partial,1,1,input_blocked,,,,,,3
image-63,singleton,current_strict,1,0,excluded,universal_bound,-1,-1,-1,-1,-1
image-63,singleton,current_partial,1,0,excluded,universal_bound,-1,-1,-1,-1,-1
image-63,singleton,union_strict,1,0,excluded,universal_bound,-1,-1,-1,-1,-1
image-63,singleton,union_partial,1,0,excluded,universal_bound,-1,-1,-1,-1,-1
block-00,block,current_strict,8,0,supported,universal_bound,1,1,1,1,1
block-00,block,current_partial,8,0,supported,universal_bound,1,1,1,1,1
block-00,block,union_strict,8,2,input_blocked,,,,,,1
block-00,block,union_partial,8,0,supported,universal_bound,1/2,3/2,1,1,1
block-01,block,current_strict,8,4,input_blocked,,,,,,7/4
block-01,block,current_partial,8,0,unresolved,opposite_worlds,-1/2,3,-1/2,5/2,7/4
block-01,block,union_strict,8,5,input_blocked,,,,,,7/4
block-01,block,union_partial,8,0,unresolved,opposite_worlds,-5/2,15/4,-2,3,7/4
block-02,block,current_strict,8,2,input_blocked,,,,,,1/4
block-02,block,current_partial,8,0,unresolved,opposite_worlds,-1/4,1/2,0,1/4,1/4
block-02,block,union_strict,8,4,input_blocked,,,,,,1/4
block-02,block,union_partial,8,0,unresolved,opposite_worlds,-1/2,1/2,-1/4,1/4,1/4
block-03,block,current_strict,8,5,input_blocked,,,,,,0
block-03,block,current_partial,8,0,unresolved,opposite_worlds,-3/2,5/4,-3/2,1/2,0
block-03,block,union_strict,8,6,input_blocked,,,,,,0
block-03,block,union_partial,8,0,unresolved,opposite_worlds,-9/4,7/4,-2,1,0
block-04,block,current_strict,8,4,input_blocked,,,,,,3/4
block-04,block,current_partial,8,0,unresolved,bound_gap,-1/4,9/4,1/4,3/2,3/4
block-04,block,union_strict,8,5,input_blocked,,,,,,3/4
block-04,block,union_partial,8,0,unresolved,opposite_worlds,-1/2,9/4,0,3/2,3/4
block-05,block,current_strict,8,3,input_blocked,,,,,,1/8
block-05,block,current_partial,8,0,unresolved,opposite_worlds,-7/8,7/8,-3/8,3/8,1/8
block-05,block,union_strict,8,6,input_blocked,,,,,,1/8
block-05,block,union_partial,8,0,unresolved,opposite_worlds,-9/8,11/8,-5/8,7/8,1/8
block-06,block,current_strict,8,3,input_blocked,,,,,,1/4
block-06,block,current_partial,8,0,unresolved,opposite_worlds,0,1/2,0,1/2,1/4
block-06,block,union_strict,8,3,input_blocked,,,,,,1/4
block-06,block,union_partial,8,0,unresolved,opposite_worlds,-1/4,3/4,-1/4,3/4,1/4
block-07,block,current_strict,8,4,input_blocked,,,,,,1/2
block-07,block,current_partial,8,0,unresolved,opposite_worlds,-3,3,-3/2,1,1/2
block-07,block,union_strict,8,5,input_blocked,,,,,,1/2
block-07,block,union_partial,8,1,input_blocked,,,,,,1/2
all-64,primary,current_strict,64,25,input_blocked,,,,,,37/64
all-64,primary,current_partial,64,0,unresolved,opposite_worlds,-43/64,99/64,-21/64,61/64,37/64
all-64,primary,union_strict,64,36,input_blocked,,,,,,37/64
all-64,primary,union_partial,64,1,input_blocked,,,,,,37/64
