section,parent_index,case_id,group,family,allocated_images,parent_row_sha256,state,universal_lower,universal_upper,attained_lower,attained_upper
primary_rows,2412,all-64,primary,current_partial,64,8b0b45c464a282c92f3ac016ba605abf7e7ee7c5071a17acb62e15d3b32b8271,same_presence_opposite_decisions,-31/64,3/64,-31/64,3/64
primary_rows,2419,all-64,primary,current_partial,64,9187d7d3625aa46b3e4ddb1cfa6842bba4d56ede63daf219e5421791a780d7a0,same_presence_opposite_decisions,-1/2,1/32,-1/2,1/32
primary_rows,2426,all-64,primary,current_partial,64,7e33548c056b0798da527744a9f42bfb6adf6577bccfb44c2ee50fbae41e7765,same_presence_opposite_decisions,-33/64,1/64,-33/64,1/64
primary_rows,2440,all-64,primary,current_partial,64,ef20347bcb44fcbaad6f23081250a2193dcd6f13b77f404543b886f0e144a2bb,same_presence_opposite_decisions,-33/64,1/64,-33/64,1/64
primary_rows,2510,all-64,primary,current_partial,64,4e86982e358317aba0c7fed904a2b984af781db567006341f8e67e953d1456fc,same_presence_opposite_decisions,-29/64,1/64,-29/64,1/64
primary_rows,2517,all-64,primary,current_partial,64,8f633a17d2025d458fcd6a6ebe06dbcea95f316453f63eb1ee2b63096e59af34,same_presence_opposite_decisions,-7/16,1/32,-7/16,1/32
primary_rows,2524,all-64,primary,current_partial,64,2f3a01faa75de298914e8d573c6804ca69911f2a80899216fae9b62c95927e00,same_presence_opposite_decisions,-29/64,1/64,-29/64,1/64
primary_rows,2531,all-64,primary,current_partial,64,9c4fd1b3d4fbbd43cbefac9403779c7336d9a88a68b2f2c397e66eb0894296db,same_presence_opposite_decisions,-7/16,1/32,-7/16,1/32
primary_rows,2538,all-64,primary,current_partial,64,a9a608650c1f4dd13e005e68bf5cf77d487802e259d476284028087ca0ba5144,same_presence_opposite_decisions,-29/64,1/64,-29/64,1/64
primary_rows,2545,all-64,primary,current_partial,64,359c9be4c1c01b8b37c8eec0aea9bf9f810f99fdd7e689871a6ac6b730874842,same_presence_opposite_decisions,-7/16,1/32,-7/16,1/32
primary_rows,2552,all-64,primary,current_partial,64,fba75feafda514b154e99099e493a053bfbd3d460633b5710732f19abc67753e,same_presence_opposite_decisions,-27/64,3/64,-27/64,3/64
primary_rows,2559,all-64,primary,current_partial,64,022b4b98ba40c772f07fcbafa166b12a9fe2c02ccf7b3cdc2787a43ff3573bb7,same_presence_opposite_decisions,-7/16,1/32,-7/16,1/32
primary_rows,2566,all-64,primary,current_partial,64,91cd58e1395f75d5fa67423325a87cebe1ba3d1c0da5dfd4c59f15875c3247e9,same_presence_opposite_decisions,-27/64,3/64,-27/64,3/64
primary_rows,2573,all-64,primary,current_partial,64,62f59b6317c5710c0d806475c485773960d2d4e1e7c001538145f4373aefc8b6,same_presence_opposite_decisions,-13/32,1/16,-13/32,1/16
primary_rows,2580,all-64,primary,current_partial,64,34b14cc555df25eb14ff21e9c093149e7aa0694587a99bf5f2eded8435280f0a,same_presence_opposite_decisions,-27/64,3/64,-27/64,3/64
primary_rows,2587,all-64,primary,current_partial,64,99912cf1224accc4ef881d16dbe5375d1a5507fc2e1d77c69c7cc9f937dec342,same_presence_opposite_decisions,-13/32,1/16,-13/32,1/16
primary_rows,2594,all-64,primary,current_partial,64,b93b191cc13bb3e911c757328c41604c4f871b1e595dd177f79b1ac4e0c51c7b,same_presence_opposite_decisions,-27/64,3/64,-27/64,3/64
primary_rows,2601,all-64,primary,current_partial,64,0091794441a271e52f18366237821c51f76f11f6572fd838bedc8db61c378c1b,same_presence_opposite_decisions,-13/32,1/16,-13/32,1/16
primary_rows,2608,all-64,primary,current_partial,64,b54a0e3db4f5cdf2b08113e1efd0ed2a54203cae062afba1e688b54b86e11888,same_presence_opposite_decisions,-25/64,5/64,-25/64,5/64
primary_rows,2615,all-64,primary,current_partial,64,7e81cdb94b7b79158c5f720724807e527968d2885b94d9289de628ed424ca50c,same_presence_opposite_decisions,-3/8,3/32,-3/8,3/32
primary_rows,2622,all-64,primary,current_partial,64,8156d0f558db00685cf572a55f08e801065054c6ffb5527a2e1c46fcaef31d1f,same_presence_opposite_decisions,-23/64,7/64,-23/64,7/64
primary_rows,2629,all-64,primary,current_partial,64,0f4e4cb47ea5d6516e507428ebe78928a980ab79530de7cb3c87b8eb282ff4fd,same_presence_opposite_decisions,-3/8,3/32,-3/8,3/32
primary_rows,2636,all-64,primary,current_partial,64,4f7cdc7356fb4e80937568d0f636da22875584eed7537e1d07fbc2ad87d17619,same_presence_opposite_decisions,-23/64,7/64,-23/64,7/64
primary_rows,2643,all-64,primary,current_partial,64,8049f09da2caf0cd9d1ff1a816208116908bacc5922330e9cf7c03b7e88c666c,same_presence_opposite_decisions,-11/32,1/8,-11/32,1/8
primary_rows,2650,all-64,primary,current_partial,64,60569ca1c2fb1ef0f4884179ac810806fec8bd1ab7756239a3dd9b552f881ed1,same_presence_opposite_decisions,-21/64,9/64,-21/64,9/64
primary_rows,2657,all-64,primary,current_partial,64,db8ff90d3460df623e8799959956aa2046c67fab1fbb1d9e6a76d68a029aae45,same_presence_opposite_decisions,-11/32,1/8,-11/32,1/8
primary_rows,2664,all-64,primary,current_partial,64,50bd2fd41bce25edec96b6ce8f1bb72d91922c877aed496f095cfc04f7a3ecb7,same_presence_opposite_decisions,-21/64,7/64,-21/64,7/64
primary_rows,2671,all-64,primary,current_partial,64,c6fb961c6db534cb2a891b21bd9e5bdb17b134cf02f520cf47a374263d4f670a,same_presence_opposite_decisions,-11/32,3/32,-11/32,3/32
primary_rows,2678,all-64,primary,current_partial,64,4ff9e0be129c075eecd4fc14e20632d9717aed0e7c8837d7ad6c0837d04de32a,same_presence_opposite_decisions,-21/64,5/64,-21/64,5/64
primary_rows,2685,all-64,primary,current_partial,64,c07802330361c29d57018b58cc852b3031b95beee0f6b2d2a3d88648080613fa,same_presence_opposite_decisions,-11/32,1/16,-11/32,1/16
primary_rows,2692,all-64,primary,current_partial,64,fef9df2f50c0205142eb981fc660acd5b67609af38c1f035b0c5f87fe0d7d03b,same_presence_opposite_decisions,-21/64,5/64,-21/64,5/64
primary_rows,2699,all-64,primary,current_partial,64,9938f0f8ebb6b724eb2cdc9cfadd7c489f4887440f2524050d8ad99abc3ba84f,same_presence_opposite_decisions,-5/16,1/16,-5/16,1/16
primary_rows,2706,all-64,primary,current_partial,64,38d0237a19bf33681d26cc039e641b096264d717e3829bdcb5e2348a1cd28d33,same_presence_opposite_decisions,-21/64,3/64,-21/64,3/64
primary_rows,2713,all-64,primary,current_partial,64,7ec6c90817bef4a70d2ef77b0ec6f94488ced66a7cce8a201c6c8ca1e8aae2bd,same_presence_opposite_decisions,-5/16,1/16,-5/16,1/16
primary_rows,2720,all-64,primary,current_partial,64,4d89061641efabffcde50af3cab44d037b0c9d0b07aa665461fbbb90bc7258cd,same_presence_opposite_decisions,-19/64,5/64,-19/64,5/64
primary_rows,2727,all-64,primary,current_partial,64,596d7b6dd42aa0534b63607fae8d31f03f5555c20a866be4f21ef77cb1f5585b,same_presence_opposite_decisions,-5/16,1/16,-5/16,1/16
primary_rows,2734,all-64,primary,current_partial,64,21ac923782d75324cff4afbf9bee1155255d77f6388c29626c307c0ede958d66,same_presence_opposite_decisions,-21/64,3/64,-21/64,3/64
primary_rows,2741,all-64,primary,current_partial,64,b3675778c20fa814a6285f17b7f85d885156fa9401ac5d80b11cc24ef9ef8154,same_presence_opposite_decisions,-5/16,1/16,-5/16,1/16
primary_rows,2748,all-64,primary,current_partial,64,a710a792c0177a21e2f1bbc6b58d7170857e4186d7f2e1e152827634957b5ab2,same_presence_opposite_decisions,-19/64,5/64,-19/64,5/64
primary_rows,2755,all-64,primary,current_partial,64,6fa23048282d0233e25450c31832b3c8879432ed12f3f0188e87ff75334a2aa0,same_presence_opposite_decisions,-5/16,1/16,-5/16,1/16
primary_rows,2762,all-64,primary,current_partial,64,8948e953f8d32cb6afda559bc43687f513b9f55e169095775a88bd481c6856f1,same_presence_opposite_decisions,-19/64,5/64,-19/64,5/64
primary_rows,2769,all-64,primary,current_partial,64,dc264db60de04e96fe7aca81bce571386640b9ac91714934a2b9924c3f2cd4a6,same_presence_opposite_decisions,-5/16,1/16,-5/16,1/16
primary_rows,2776,all-64,primary,current_partial,64,5c3ca3fc5e2279f16cc23c6e2a8bc49fa3df62d7ddf56af2736f88307e0c60da,same_presence_opposite_decisions,-19/64,5/64,-19/64,5/64
primary_rows,2783,all-64,primary,current_partial,64,c5261dd7a1eacff96d7082b088fe56ad1d8fc1b25248fe94674933d465c93039,same_presence_opposite_decisions,-9/32,1/16,-9/32,1/16
primary_rows,2790,all-64,primary,current_partial,64,579209dfe5bfea3343d3cc0a4e9db7649365dfb60bbd753be01731ad4bb08357,same_presence_opposite_decisions,-19/64,3/64,-19/64,3/64
primary_rows,2797,all-64,primary,current_partial,64,7b30e8c1287b92c7661a4cb80c9389df927cb5a7036abb167c991497815008bd,same_presence_opposite_decisions,-5/16,1/32,-5/16,1/32
primary_rows,2804,all-64,primary,current_partial,64,03421fea1fb27d0b5d39fb8ad0582c0e474ce87045d96f4151959a43ee5bd771,same_presence_opposite_decisions,-21/64,1/64,-21/64,1/64
primary_rows,2811,all-64,primary,current_partial,64,a53039e2f3094c5ca4a4af2ed0f998f34eebf911c70a5c6221dfba567b4023c1,same_presence_opposite_decisions,-5/16,1/32,-5/16,1/32
primary_rows,2818,all-64,primary,current_partial,64,03e88d5f7c96ccdbbea8ebaa2c41f748d0338c7cb9285991cce14b460e9dc3b8,same_presence_opposite_decisions,-19/64,3/64,-19/64,3/64
primary_rows,2825,all-64,primary,current_partial,64,958f12527ab9a42f9da1678b7fb1f8a180a75abc1c2a21d28eeed8fcb8598e85,same_presence_opposite_decisions,-5/16,1/32,-5/16,1/32
primary_rows,2832,all-64,primary,current_partial,64,7d962239c8352e5e297c65de4165aa41f5d1ffe02c1eb37977999e0fcb60639e,same_presence_opposite_decisions,-19/64,3/64,-19/64,3/64
primary_rows,2839,all-64,primary,current_partial,64,e7de023867a14a7fb2e257770f9ef7ae82e5b63b15cbce392ec1aba79ad3aaa0,same_presence_opposite_decisions,-9/32,1/32,-9/32,1/32
primary_rows,2846,all-64,primary,current_partial,64,ab93fa61eae88175c9ae913b2fe81ede52b538338546c1a816d5467bae60a4be,same_presence_opposite_decisions,-17/64,3/64,-17/64,3/64
primary_rows,2853,all-64,primary,current_partial,64,fd882ef6725f6b52ad437318ef18e4c1a03c10f3f38778b3ff282fac9015500d,same_presence_opposite_decisions,-9/32,1/32,-9/32,1/32
