false_positive_budget,old_state,new_state,old_minimum_misses,new_minimum_misses,old_attained_cell_ids,new_attained_cell_ids,miss_difference_old_minus_new,comparison
193,available,available,135,156,cell-0000 cell-0001,cell-0000,-21,old_fewer_misses
194,available,available,135,156,cell-0000 cell-0001,cell-0000,-21,old_fewer_misses
195,available,available,135,156,cell-0000 cell-0001,cell-0000,-21,old_fewer_misses
196,available,available,135,156,cell-0000 cell-0001,cell-0000,-21,old_fewer_misses
197,available,available,135,156,cell-0000 cell-0001,cell-0000,-21,old_fewer_misses
198,available,available,135,156,cell-0000 cell-0001,cell-0000,-21,old_fewer_misses
199,available,available,135,156,cell-0000 cell-0001,cell-0000,-21,old_fewer_misses
200,available,available,135,156,cell-0000 cell-0001,cell-0000,-21,old_fewer_misses
201,available,available,135,156,cell-0000 cell-0001,cell-0000,-21,old_fewer_misses
202,available,available,135,156,cell-0000 cell-0001,cell-0000,-21,old_fewer_misses
203,available,available,135,156,cell-0000 cell-0001,cell-0000,-21,old_fewer_misses
204,available,available,135,156,cell-0000 cell-0001,cell-0000,-21,old_fewer_misses
205,available,available,135,156,cell-0000 cell-0001,cell-0000,-21,old_fewer_misses
206,available,available,135,156,cell-0000 cell-0001,cell-0000,-21,old_fewer_misses
207,available,available,135,156,cell-0000 cell-0001,cell-0000,-21,old_fewer_misses
208,available,available,135,156,cell-0000 cell-0001,cell-0000,-21,old_fewer_misses
209,available,available,135,156,cell-0000 cell-0001,cell-0000,-21,old_fewer_misses
210,available,available,135,156,cell-0000 cell-0001,cell-0000,-21,old_fewer_misses
211,available,available,135,156,cell-0000 cell-0001,cell-0000,-21,old_fewer_misses
212,available,available,135,156,cell-0000 cell-0001,cell-0000,-21,old_fewer_misses
213,available,available,135,156,cell-0000 cell-0001,cell-0000,-21,old_fewer_misses
214,available,available,135,156,cell-0000 cell-0001,cell-0000,-21,old_fewer_misses
215,available,available,135,156,cell-0000 cell-0001,cell-0000,-21,old_fewer_misses
216,available,available,135,156,cell-0000 cell-0001,cell-0000,-21,old_fewer_misses
217,available,available,135,156,cell-0000 cell-0001,cell-0000,-21,old_fewer_misses
218,available,available,135,156,cell-0000 cell-0001,cell-0000,-21,old_fewer_misses
219,available,available,135,156,cell-0000 cell-0001,cell-0000,-21,old_fewer_misses
220,available,available,135,156,cell-0000 cell-0001,cell-0000,-21,old_fewer_misses
221,available,available,135,156,cell-0000 cell-0001,cell-0000,-21,old_fewer_misses
222,available,available,135,156,cell-0000 cell-0001,cell-0000,-21,old_fewer_misses
223,available,available,135,156,cell-0000 cell-0001,cell-0000,-21,old_fewer_misses
224,available,available,135,156,cell-0000 cell-0001,cell-0000,-21,old_fewer_misses
225,available,available,135,156,cell-0000 cell-0001,cell-0000,-21,old_fewer_misses
226,available,available,135,156,cell-0000 cell-0001,cell-0000,-21,old_fewer_misses
227,available,available,135,156,cell-0000 cell-0001,cell-0000,-21,old_fewer_misses
