cell_id,threshold_left,threshold_right,left_closed,right_closed,case_id,group,family,allocated_images,blocked_image_count,decision,evidence,mean_lower,mean_upper,attained_lower,attained_upper
cell-0011,1305423527956009/5000000000000000,13063758611679077/50000000000000000,True,False,all-64,primary,current_partial,64,0,unresolved,opposite_worlds,-3/4,47/32,-15/32,17/16
cell-0011,1305423527956009/5000000000000000,13063758611679077/50000000000000000,True,False,all-64,primary,union_strict,64,36,input_blocked,,,,,
cell-0011,1305423527956009/5000000000000000,13063758611679077/50000000000000000,True,False,all-64,primary,union_partial,64,1,input_blocked,,,,,
cell-0012,13063758611679077/50000000000000000,13155975937843323/50000000000000000,True,False,all-64,primary,exact_projection,64,0,supported,universal_bound,31/64,31/64,31/64,31/64
cell-0012,13063758611679077/50000000000000000,13155975937843323/50000000000000000,True,False,all-64,primary,one_edit_per_image,64,0,unresolved,opposite_worlds,-95/64,169/64,-89/64,165/64
cell-0012,13063758611679077/50000000000000000,13155975937843323/50000000000000000,True,False,all-64,primary,one_edit_global,64,0,supported,universal_bound,27/64,35/64,27/64,35/64
cell-0012,13063758611679077/50000000000000000,13155975937843323/50000000000000000,True,False,all-64,primary,current_strict,64,25,input_blocked,,,,,
cell-0012,13063758611679077/50000000000000000,13155975937843323/50000000000000000,True,False,all-64,primary,current_partial,64,0,unresolved,opposite_worlds,-49/64,93/64,-31/64,67/64
cell-0012,13063758611679077/50000000000000000,13155975937843323/50000000000000000,True,False,all-64,primary,union_strict,64,36,input_blocked,,,,,
cell-0012,13063758611679077/50000000000000000,13155975937843323/50000000000000000,True,False,all-64,primary,union_partial,64,1,input_blocked,,,,,
cell-0013,13155975937843323/50000000000000000,26400062441825867/100000000000000000,True,False,all-64,primary,exact_projection,64,0,supported,universal_bound,1/2,1/2,1/2,1/2
cell-0013,13155975937843323/50000000000000000,26400062441825867/100000000000000000,True,False,all-64,primary,one_edit_per_image,64,0,unresolved,opposite_worlds,-47/32,85/32,-11/8,41/16
cell-0013,13155975937843323/50000000000000000,26400062441825867/100000000000000000,True,False,all-64,primary,one_edit_global,64,0,supported,universal_bound,7/16,9/16,7/16,9/16
cell-0013,13155975937843323/50000000000000000,26400062441825867/100000000000000000,True,False,all-64,primary,current_strict,64,25,input_blocked,,,,,
cell-0013,13155975937843323/50000000000000000,26400062441825867/100000000000000000,True,False,all-64,primary,current_partial,64,0,unresolved,opposite_worlds,-3/4,47/32,-15/32,17/16
cell-0013,13155975937843323/50000000000000000,26400062441825867/100000000000000000,True,False,all-64,primary,union_strict,64,36,input_blocked,,,,,
cell-0013,13155975937843323/50000000000000000,26400062441825867/100000000000000000,True,False,all-64,primary,union_partial,64,1,input_blocked,,,,,
cell-0014,26400062441825867/100000000000000000,2646734416484833/10000000000000000,True,False,all-64,primary,exact_projection,64,0,supported,universal_bound,31/64,31/64,31/64,31/64
cell-0014,26400062441825867/100000000000000000,2646734416484833/10000000000000000,True,False,all-64,primary,one_edit_per_image,64,0,unresolved,opposite_worlds,-95/64,169/64,-89/64,163/64
cell-0014,26400062441825867/100000000000000000,2646734416484833/10000000000000000,True,False,all-64,primary,one_edit_global,64,0,supported,universal_bound,27/64,35/64,27/64,35/64
cell-0014,26400062441825867/100000000000000000,2646734416484833/10000000000000000,True,False,all-64,primary,current_strict,64,25,input_blocked,,,,,
cell-0014,26400062441825867/100000000000000000,2646734416484833/10000000000000000,True,False,all-64,primary,current_partial,64,0,unresolved,opposite_worlds,-49/64,93/64,-31/64,67/64
cell-0014,26400062441825867/100000000000000000,2646734416484833/10000000000000000,True,False,all-64,primary,union_strict,64,36,input_blocked,,,,,
cell-0014,26400062441825867/100000000000000000,2646734416484833/10000000000000000,True,False,all-64,primary,union_partial,64,1,input_blocked,,,,,
