population,arm,order,probability,exact_stop,exact_decision,stat_stop,stat_decision,stat_reason,e_lower_at_stop,e_upper_at_stop,lower_ever_crossed,upper_ever_crossed
point_positive,uniform,143205,1/720,4,supported,4,supported,logical,105/16,1/16,0,0
point_positive,uniform,143250,1/720,4,supported,4,supported,logical,105/16,1/16,0,0
point_positive,uniform,143502,1/720,4,supported,4,supported,logical,105/16,1/16,0,0
point_positive,uniform,143520,1/720,4,supported,4,supported,logical,105/16,1/16,0,0
point_positive,uniform,145023,1/720,4,supported,4,supported,logical,105/16,1/16,0,0
point_positive,uniform,145032,1/720,4,supported,4,supported,logical,105/16,1/16,0,0
point_positive,uniform,145203,1/720,4,supported,4,supported,logical,105/16,1/16,0,0
point_positive,uniform,145230,1/720,4,supported,4,supported,logical,105/16,1/16,0,0
point_positive,uniform,145302,1/720,4,supported,4,supported,logical,105/16,1/16,0,0
point_positive,uniform,145320,1/720,4,supported,4,supported,logical,105/16,1/16,0,0
point_positive,uniform,150234,1/720,4,supported,4,supported,logical,105/16,1/16,0,0
point_positive,uniform,150243,1/720,4,supported,4,supported,logical,105/16,1/16,0,0
point_positive,uniform,150324,1/720,4,supported,4,supported,logical,105/16,1/16,0,0
point_positive,uniform,150342,1/720,4,supported,4,supported,logical,105/16,1/16,0,0
point_positive,uniform,150423,1/720,4,supported,4,supported,logical,105/16,1/16,0,0
point_positive,uniform,150432,1/720,4,supported,4,supported,logical,105/16,1/16,0,0
point_positive,uniform,152034,1/720,4,supported,4,supported,logical,105/16,1/16,0,0
point_positive,uniform,152043,1/720,4,supported,4,supported,logical,105/16,1/16,0,0
point_positive,uniform,152304,1/720,4,supported,4,supported,logical,105/16,1/16,0,0
point_positive,uniform,152340,1/720,4,supported,4,supported,logical,105/16,1/16,0,0
point_positive,uniform,152403,1/720,4,supported,4,supported,logical,105/16,1/16,0,0
point_positive,uniform,152430,1/720,4,supported,4,supported,logical,105/16,1/16,0,0
point_positive,uniform,153024,1/720,4,supported,4,supported,logical,105/16,1/16,0,0
point_positive,uniform,153042,1/720,4,supported,4,supported,logical,105/16,1/16,0,0
point_positive,uniform,153204,1/720,4,supported,4,supported,logical,105/16,1/16,0,0
point_positive,uniform,153240,1/720,4,supported,4,supported,logical,105/16,1/16,0,0
point_positive,uniform,153402,1/720,4,supported,4,supported,logical,105/16,1/16,0,0
point_positive,uniform,153420,1/720,4,supported,4,supported,logical,105/16,1/16,0,0
point_positive,uniform,154023,1/720,4,supported,4,supported,logical,105/16,1/16,0,0
point_positive,uniform,154032,1/720,4,supported,4,supported,logical,105/16,1/16,0,0
point_positive,uniform,154203,1/720,4,supported,4,supported,logical,105/16,1/16,0,0
point_positive,uniform,154230,1/720,4,supported,4,supported,logical,105/16,1/16,0,0
point_positive,uniform,154302,1/720,4,supported,4,supported,logical,105/16,1/16,0,0
point_positive,uniform,154320,1/720,4,supported,4,supported,logical,105/16,1/16,0,0
point_positive,uniform,201345,1/720,4,supported,4,supported,logical,105/16,1/16,0,0
point_positive,uniform,201354,1/720,4,supported,4,supported,logical,105/16,1/16,0,0
point_positive,uniform,201435,1/720,4,supported,4,supported,logical,105/16,1/16,0,0
point_positive,uniform,201453,1/720,4,supported,4,supported,logical,105/16,1/16,0,0
point_positive,uniform,201534,1/720,4,supported,4,supported,logical,105/16,1/16,0,0
point_positive,uniform,201543,1/720,4,supported,4,supported,logical,105/16,1/16,0,0
point_positive,uniform,203145,1/720,4,supported,4,supported,logical,105/16,1/16,0,0
point_positive,uniform,203154,1/720,4,supported,4,supported,logical,105/16,1/16,0,0
point_positive,uniform,203415,1/720,4,supported,4,supported,logical,105/16,1/16,0,0
point_positive,uniform,203451,1/720,4,supported,4,supported,logical,105/16,1/16,0,0
point_positive,uniform,203514,1/720,4,supported,4,supported,logical,105/16,1/16,0,0
point_positive,uniform,203541,1/720,4,supported,4,supported,logical,105/16,1/16,0,0
point_positive,uniform,204135,1/720,4,supported,4,supported,logical,105/16,1/16,0,0
point_positive,uniform,204153,1/720,4,supported,4,supported,logical,105/16,1/16,0,0
point_positive,uniform,204315,1/720,4,supported,4,supported,logical,105/16,1/16,0,0
point_positive,uniform,204351,1/720,4,supported,4,supported,logical,105/16,1/16,0,0
point_positive,uniform,204513,1/720,4,supported,4,supported,logical,105/16,1/16,0,0
point_positive,uniform,204531,1/720,4,supported,4,supported,logical,105/16,1/16,0,0
point_positive,uniform,205134,1/720,4,supported,4,supported,logical,105/16,1/16,0,0
point_positive,uniform,205143,1/720,4,supported,4,supported,logical,105/16,1/16,0,0
point_positive,uniform,205314,1/720,4,supported,4,supported,logical,105/16,1/16,0,0
point_positive,uniform,205341,1/720,4,supported,4,supported,logical,105/16,1/16,0,0
point_positive,uniform,205413,1/720,4,supported,4,supported,logical,105/16,1/16,0,0
point_positive,uniform,205431,1/720,4,supported,4,supported,logical,105/16,1/16,0,0
point_positive,uniform,210345,1/720,4,supported,4,supported,logical,105/16,1/16,0,0
point_positive,uniform,210354,1/720,4,supported,4,supported,logical,105/16,1/16,0,0
point_positive,uniform,210435,1/720,4,supported,4,supported,logical,105/16,1/16,0,0
point_positive,uniform,210453,1/720,4,supported,4,supported,logical,105/16,1/16,0,0
point_positive,uniform,210534,1/720,4,supported,4,supported,logical,105/16,1/16,0,0
